Saying File Name,Saying Line Breaks,Master Key
767,"Fiscally conservative, \r\nsocially awkward,\r\npolitically confused",322.5
768,Abstinance = 0\r\nPlan B = $\r\nRaising Child = $$$$$,322.5
769,You're cheesy\r\n&\r\nI'm lactose intolerant,322.5
770,My body.\r\nMy choice.\r\nLegalize prostitution.,322.5
771,Gay investor\r\nsearching for a\r\nbear market,323
772,Kicking tush\r\n& \r\ntaking names,323
773,"I came,\r\nI waited,\r\nI came again",323
774,"I ain't this tall,\r\njust sittin\r\non my wallet",323
775,I fought the law\r\n&\r\nmy lawyer won,323
776,Give me vodka\r\nor\r\ngive me death,323
777,"I didn't cheat,\r\nthe government\r\njust fucked me",323
778,Roses are red\r\n&\r\nmy eyes are too,323
779,Beach bod\r\nby\r\nadderall & cigs,323
780,"I came,\r\nI saw,\r\nI conquered her",323
781,"I came,\r\nI saw,\r\nI conquered him",323
782,"Hold my shaft,\r\nwhile I grab\r\nyour golf balls",323
783,Heaven is a\r\nhell of a place\r\nif you're there,323
784,Condescending\r\nis when you talk\r\ndown to someone,323
785,"Bulimia,\r\nit's always better\r\nthe second time",323
786,Cross me\r\n&\r\nI'll crucify you,323
787,"Live,\r\nLove,\r\nBleed & act crazy",323
788,The only culture\r\n we should cancel\r\n...is cancel culture,323
